IdPais|Pais
1|Venezuela
2|Colombia
3|Bolivia
4|Brasil
5|Ecuador
6|Perú
7|Surinam
8|Guyana
9|No Disponible
10|Suriname
11|Trinidad and Tobago, West Indies
13|USA
14|Chile
15|Costa Rica
16|Francia
17|Honduras
18|Uruguay
19|España
20|Guatemala
